CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,engagement_score,login_frequency,purchase_count,support_tickets,previous_campaign_response,treatment,outcome,Geography_Germany,Geography_Spain
661,0,35,5,150725.53,2,0,1,113656.85,15,7,7,5,0,1,0,1,0
675,0,21,8,98373.26,1,1,0,18203.0,63,10,1,1,1,0,1,0,0
738,1,58,2,133745.44,4,1,0,28373.86,13,13,13,5,0,1,0,1,0
813,1,29,6,0.0,1,1,0,33953.87,63,12,14,3,1,0,1,0,0
657,0,37,0,163607.18,1,0,1,44203.55,72,7,8,1,1,1,1,0,1
604,0,25,5,157780.84,2,1,1,58426.81,27,13,1,5,1,1,1,1,0
519,1,36,9,0.0,2,0,1,145562.4,99,13,16,0,1,1,1,0,0
735,0,21,1,178718.19,2,1,0,22388.0,53,8,9,2,0,0,1,0,0
664,1,55,8,0.0,2,1,1,139161.64,43,12,8,4,1,0,0,0,0
678,0,32,9,0.0,1,1,1,148210.64,83,6,1,1,1,0,1,0,0
757,1,33,5,77253.22,1,0,1,194239.63,71,8,18,2,0,0,1,0,1
416,0,41,10,122189.66,2,1,0,98301.61,23,3,16,5,1,1,1,1,0
665,0,34,1,96645.54,2,0,0,171413.66,57,10,10,3,0,1,1,0,0
777,0,32,2,0.0,1,1,0,136458.19,24,10,16,5,1,1,1,0,0
543,0,36,3,0.0,2,0,0,26019.59,81,14,9,2,0,0,1,0,0
506,0,34,4,90307.62,1,1,1,159235.29,87,1,17,0,1,1,0,0,0
493,0,46,4,0.0,2,1,0,1907.66,96,6,5,1,0,0,0,0,0
652,0,75,10,0.0,2,1,1,114675.75,71,1,15,1,0,1,0,0,1
750,1,22,3,121681.82,1,1,0,128643.35,49,9,17,3,0,0,1,0,1
729,1,30,9,0.0,2,1,0,151869.35,94,14,19,2,1,1,1,0,0
646,0,46,4,0.0,3,1,0,93251.42,89,2,17,2,0,0,0,0,0
635,0,28,3,81623.67,2,1,1,156791.36,91,11,0,0,1,0,0,1,0
647,0,44,5,0.0,3,1,1,174205.22,62,2,2,4,0,1,0,0,1
808,1,45,7,118626.55,2,1,0,147132.46,33,7,14,4,0,1,1,0,0
524,0,36,10,0.0,2,1,0,109614.57,35,2,19,3,1,1,1,0,0
769,1,29,8,0.0,2,1,1,172290.61,98,10,9,2,1,0,1,0,0
730,1,42,4,0.0,2,0,1,85982.47,69,8,4,0,1,0,1,0,1
515,1,35,10,176273.95,1,0,1,121277.78,50,6,14,1,0,0,0,0,1
773,1,41,9,102827.44,1,0,1,64595.25,38,14,13,6,0,1,1,0,1
814,1,29,8,97086.4,2,1,1,197276.13,24,7,14,4,0,0,1,1,0
710,1,22,8,0.0,2,0,0,99645.04,54,7,9,3,0,1,1,0,1
413,1,34,9,0.0,2,0,0,6534.18,74,6,8,3,0,1,1,0,0
665,0,40,6,0.0,1,1,1,161848.03,98,10,11,1,1,1,1,0,0
623,0,44,6,0.0,2,0,0,167162.43,80,11,6,2,0,1,0,0,0
738,1,31,9,82674.15,1,1,0,41970.72,18,9,4,5,1,1,1,0,0
528,1,36,7,0.0,2,1,0,60536.56,97,13,9,1,0,0,1,0,1
670,0,65,1,0.0,1,1,1,177655.68,10,9,7,5,1,0,0,0,1
622,0,46,4,107073.27,2,1,1,30984.59,17,7,19,4,1,0,0,0,1
582,1,32,1,88938.62,1,1,1,10054.53,97,9,15,0,0,0,1,1,0
785,0,36,2,99806.85,1,0,1,36976.52,72,13,11,1,0,0,1,1,0
605,1,33,5,150092.8,1,0,0,71862.79,20,10,8,6,0,1,0,0,1
479,1,35,9,92833.89,1,1,0,99449.86,90,3,9,3,0,0,0,1,0
685,1,30,3,90536.81,1,0,1,63082.88,17,3,15,5,0,1,1,1,0
538,1,39,7,108055.1,2,1,0,27231.26,44,1,9,4,1,1,1,1,0
562,1,42,2,100238.35,1,0,0,86797.41,44,5,8,4,1,1,1,0,0
675,1,36,9,106190.55,1,0,1,22994.32,42,4,2,3,0,0,0,0,1
721,1,28,9,154475.54,2,0,1,101300.94,14,2,18,6,0,1,1,1,0
628,0,30,9,132351.29,2,1,1,74169.13,50,9,10,3,1,1,1,1,0
668,0,37,6,167864.4,1,1,0,115638.29,37,3,5,3,1,0,0,1,0
506,0,41,1,0.0,2,1,0,31766.3,16,8,5,5,0,1,1,0,0
524,0,31,8,107818.63,1,1,0,199725.39,82,6,14,2,0,0,1,1,0
699,1,34,4,185173.81,2,1,0,120834.48,81,14,14,3,1,0,1,1,0
828,1,34,8,129433.34,2,0,0,38131.77,21,13,12,5,1,0,1,0,0
674,1,39,6,120193.42,1,0,0,100130.95,43,5,4,3,0,0,0,0,1
656,0,39,6,0.0,2,1,0,141069.88,42,1,13,4,1,1,1,0,0
684,0,48,10,126384.42,1,1,1,198129.36,57,4,1,2,1,0,0,1,0
625,0,28,3,0.0,1,0,0,183646.41,32,3,11,6,0,1,1,0,0
432,1,42,9,152603.45,1,1,0,110265.24,71,1,19,3,1,1,1,0,0
549,0,52,1,0.0,1,0,1,8636.05,97,12,13,1,1,1,1,0,0
625,1,56,0,148507.24,1,1,0,46824.08,46,5,18,3,1,0,0,1,0
828,0,41,7,0.0,2,1,0,171378.77,53,6,19,4,1,1,1,0,0
770,1,24,9,101827.07,1,1,0,167256.35,95,2,14,2,0,0,1,0,0
758,0,34,3,0.0,2,1,1,124226.16,44,14,19,2,1,1,1,0,0
795,0,33,9,130862.43,1,1,1,114935.21,74,3,16,4,1,1,1,1,0
687,1,38,9,122570.87,1,1,1,35608.88,56,11,13,3,1,0,1,0,0
686,1,25,1,0.0,2,0,1,16459.37,87,14,17,1,1,0,1,0,0
789,1,39,7,124828.46,2,1,1,124411.08,12,6,4,5,1,1,1,1,0
589,0,50,5,144895.05,2,1,1,34941.23,10,4,11,4,0,0,1,1,0
461,0,34,5,63663.93,1,0,1,167784.28,14,9,9,6,1,0,0,1,0
637,1,40,2,133463.1,1,0,1,93165.34,99,5,7,2,1,0,1,0,0
584,0,48,2,213146.2,1,1,0,75161.25,23,4,5,5,0,0,1,0,1
579,0,35,1,129490.36,2,0,1,8590.83,36,2,14,5,1,0,1,0,1
756,1,44,10,137452.09,1,1,0,189543.9,18,6,11,4,1,0,0,1,0
663,1,34,7,0.0,2,1,1,180427.24,88,10,5,2,0,1,1,0,0
682,0,43,5,125851.93,1,1,1,193318.33,24,2,11,5,0,1,1,0,0
793,1,52,2,0.0,1,1,0,159123.82,99,12,14,1,0,1,1,0,1
691,0,31,5,40915.55,1,1,0,126213.84,51,13,11,3,0,1,1,0,0
485,0,21,5,113157.22,1,1,1,54141.5,86,7,8,2,0,0,0,0,1
635,0,29,8,138296.94,2,1,0,141075.51,60,3,18,4,0,0,1,0,1
650,1,37,5,106967.18,1,0,0,24495.03,72,9,1,1,1,1,1,0,0
735,1,44,9,120681.63,1,1,0,74836.34,61,11,12,5,0,1,1,0,0
416,1,32,0,0.0,2,0,1,878.87,13,5,12,6,1,1,1,0,0
754,0,32,7,0.0,2,1,0,89520.75,32,8,7,4,0,0,0,0,1
535,0,48,9,0.0,1,1,0,149892.79,24,11,12,4,1,1,1,0,0
716,1,42,8,0.0,2,1,0,180800.42,52,6,3,5,1,1,1,0,1
539,1,37,2,127609.59,1,1,0,98646.22,38,14,5,4,1,0,0,0,0
614,0,43,6,0.0,2,1,1,109041.53,45,12,5,4,1,1,1,0,0
706,1,57,7,0.0,1,1,0,17941.16,22,10,11,5,0,0,0,0,1
758,0,33,7,0.0,2,0,0,82996.47,41,8,11,5,0,0,0,0,0
586,0,28,2,0.0,2,1,1,92067.35,80,13,16,3,1,0,1,0,1
646,0,73,6,97259.25,1,0,1,104719.66,68,13,6,2,0,0,1,0,0
631,0,33,4,123246.7,1,0,0,112687.57,95,11,14,1,1,1,0,1,0
717,0,22,6,101060.25,1,0,1,84699.56,37,12,16,4,0,1,0,0,1
684,1,30,2,0.0,2,1,0,83473.82,75,3,9,5,1,0,1,0,0
800,0,49,7,108007.36,1,0,0,47125.11,51,3,19,3,0,0,0,0,0
721,0,36,2,0.0,2,1,1,106977.8,54,5,5,3,0,0,1,0,1
683,1,29,0,133702.89,1,1,0,55582.54,71,11,8,4,0,1,1,0,1
660,1,31,9,125189.75,2,1,1,139874.43,66,10,14,2,1,0,1,1,0
704,0,24,7,113034.22,1,1,0,162503.48,15,3,15,6,1,1,1,1,0
615,0,41,9,109013.23,1,1,0,196499.96,37,8,7,4,1,1,0,0,1
667,0,39,2,0.0,2,1,0,40721.24,37,10,15,5,1,1,1,0,1
682,1,24,9,57929.81,2,0,0,53134.3,53,13,4,2,1,0,1,1,0
484,0,29,4,130114.39,1,1,0,164017.89,93,12,17,4,0,0,1,0,0
628,1,27,5,95826.49,2,1,0,155996.96,39,14,19,4,0,0,1,1,0
480,1,44,10,129608.57,1,1,0,5472.7,71,8,13,3,1,0,0,1,0
578,1,30,4,169462.09,1,1,0,112187.11,84,2,1,2,0,1,1,0,0
512,1,40,5,0.0,2,1,1,146457.83,98,12,2,0,1,0,1,0,0
484,0,35,7,133868.21,1,1,1,27286.1,71,4,13,3,1,0,1,0,1
510,0,30,0,0.0,2,1,1,130553.47,10,10,6,4,0,1,1,0,0
606,1,36,5,190479.48,2,0,0,179351.89,36,13,14,5,0,1,1,1,0
597,0,40,8,101993.12,1,0,1,94774.12,71,1,16,1,0,0,0,0,1
754,0,55,3,161608.81,1,1,0,8080.85,86,4,0,2,1,1,1,1,0
850,0,45,2,122311.21,1,1,1,19482.5,12,12,8,4,1,1,1,0,1
510,1,65,2,0.0,2,1,1,48071.61,79,13,13,2,0,1,1,0,0
778,0,45,1,162150.42,2,1,0,174531.27,81,13,15,3,0,1,0,1,0
636,1,42,2,0.0,2,1,1,55470.78,36,11,12,3,1,0,1,0,0
804,0,50,4,0.0,1,1,1,8546.87,18,13,5,4,0,1,0,0,0
514,1,32,8,0.0,2,1,0,95857.18,71,4,0,3,1,1,0,0,0
730,0,39,1,99010.67,1,1,0,194945.8,46,10,3,4,1,1,1,0,0
525,0,37,0,0.0,1,0,1,131521.72,60,9,2,3,0,0,1,0,1
616,1,30,5,0.0,2,0,1,196108.51,53,3,16,5,0,0,1,0,1
687,0,34,7,111388.18,2,1,0,148564.76,33,2,1,5,0,0,1,1,0
715,0,41,8,56214.85,2,0,0,92982.61,88,9,18,4,0,1,1,0,0
512,0,36,3,84327.77,2,1,0,17675.36,68,9,19,3,0,1,0,0,0
479,1,40,1,0.0,2,0,0,114996.43,41,1,7,4,1,0,1,0,0
601,1,32,8,93012.89,1,1,0,86957.42,97,6,14,1,0,0,1,0,0
580,1,29,9,61710.44,2,1,0,128077.8,61,10,5,3,0,0,1,0,1
807,1,35,3,174790.15,1,1,1,600.36,71,8,19,2,1,1,1,0,0
616,0,32,6,0.0,2,1,1,43001.46,67,3,1,2,1,1,1,0,1
721,1,37,3,107720.64,1,1,1,158591.12,61,11,14,1,0,1,1,1,0
501,1,57,10,0.0,2,1,1,47847.19,21,9,19,6,1,1,1,0,0
521,1,35,6,96423.84,1,1,0,10488.44,48,2,11,3,1,0,1,0,0
850,1,30,2,141040.01,1,1,1,5978.2,11,6,2,6,1,1,1,0,1
759,1,42,4,105420.18,1,0,1,121409.06,12,1,9,4,1,1,1,0,0
516,1,50,5,0.0,1,0,1,146145.93,65,13,13,3,1,0,0,0,1
711,0,38,2,129022.06,2,1,1,14374.86,90,7,13,1,0,1,1,0,0
512,1,33,3,176666.62,1,1,0,94670.77,68,3,2,3,0,0,1,0,1
550,1,37,3,0.0,1,1,1,179670.31,11,7,0,4,0,1,1,0,0
608,0,41,3,89763.84,1,0,0,199304.74,11,4,19,6,0,1,1,0,1
618,1,34,5,134954.53,1,1,1,151954.39,63,9,0,2,0,0,1,0,0
643,1,45,5,0.0,1,1,0,142513.5,96,5,1,3,0,1,1,0,0
671,1,45,2,106376.85,1,0,1,158264.62,10,3,18,3,0,1,1,0,0
689,1,33,2,161814.64,2,1,0,169381.9,28,8,9,4,1,1,1,1,0
603,1,31,8,0.0,2,1,1,169915.02,11,6,3,5,1,0,0,0,0
620,0,41,9,0.0,2,0,0,88852.47,62,2,3,3,1,1,1,0,0
676,0,34,1,63095.01,1,1,1,40645.81,53,3,12,3,1,0,1,0,0
572,1,26,4,118287.01,2,0,0,60427.3,99,8,8,2,0,0,1,1,0
668,1,47,7,106854.21,1,0,1,157959.02,41,10,6,5,1,0,0,1,0
695,1,46,7,49512.55,1,1,0,133007.34,79,7,15,3,0,0,1,0,0
730,0,33,9,0.0,2,0,0,176576.62,41,10,17,3,1,1,1,0,1
807,1,43,1,105799.32,2,1,0,34888.04,77,6,2,2,0,0,0,0,0
592,1,54,8,0.0,1,1,1,28737.71,64,14,19,4,1,0,1,0,0
726,0,31,9,114722.05,2,1,1,98178.57,84,1,19,0,0,0,1,0,0
514,1,30,7,0.0,1,0,1,125010.24,65,9,9,3,0,0,1,0,1
567,1,42,2,0.0,2,1,1,167984.61,26,3,15,3,1,0,1,0,0
850,1,33,10,0.0,1,1,0,4861.72,47,14,2,5,1,1,1,0,0
671,1,45,6,99564.22,1,1,1,108872.45,33,5,10,3,1,1,1,1,0
670,1,37,4,170557.91,2,1,0,198252.88,78,7,9,3,0,1,0,0,0
694,0,30,9,0.0,2,1,1,26960.31,79,7,15,2,1,1,1,0,0
547,0,39,6,74596.15,3,1,1,85746.52,95,3,7,0,0,1,0,1,0
751,1,50,2,96888.39,1,1,0,77206.25,20,4,8,5,1,1,1,1,0
594,0,29,3,130830.22,1,1,0,61048.53,25,10,14,4,1,1,1,1,0
673,1,72,1,0.0,2,0,1,111981.19,82,7,2,3,0,0,0,0,0
610,1,40,0,0.0,2,1,0,62232.6,68,8,3,2,1,1,0,0,0
512,0,37,1,0.0,2,0,1,156105.03,79,2,12,2,0,1,0,0,0
767,1,20,3,119714.25,2,0,1,150135.38,89,9,11,1,1,0,1,1,0
585,0,67,5,113978.97,2,0,1,93146.11,12,7,8,4,0,1,1,0,0
763,1,42,6,100160.75,1,1,0,33462.94,29,13,13,6,1,0,1,1,0
712,0,29,2,0.0,1,1,1,144375.0,68,8,18,2,0,0,1,0,0
539,0,43,3,116220.5,3,1,0,55803.96,45,6,6,3,1,1,1,1,0
668,0,46,2,0.0,3,1,0,89048.46,28,6,15,5,1,0,0,0,0
703,1,28,2,81173.83,2,0,1,162812.16,99,9,19,0,0,0,1,0,0
662,1,38,4,0.0,2,1,0,136259.65,76,4,4,5,1,1,1,0,1
725,0,39,5,116803.8,1,1,0,124052.97,28,11,9,3,1,0,1,1,0
703,1,37,8,105961.68,2,0,1,74158.8,29,11,17,4,0,0,1,0,0
659,1,67,6,117411.6,1,1,1,45071.09,80,5,10,2,1,1,1,1,0
523,1,34,7,0.0,2,1,0,62030.06,61,9,6,4,0,1,1,0,1
635,0,40,10,123497.58,1,1,0,131953.23,42,1,13,4,0,0,1,0,0
772,1,26,7,152400.51,2,1,0,79414.0,49,4,19,3,1,0,0,1,0
545,0,26,1,0.0,2,1,1,199638.56,48,7,17,1,0,1,1,0,0
634,1,24,8,103097.85,1,1,1,157577.29,91,11,10,0,0,0,0,1,0
739,1,54,8,126418.14,1,1,0,134420.75,10,9,11,5,1,1,0,1,0
771,0,36,5,77846.9,1,0,0,99805.99,20,14,17,6,1,0,1,1,0
587,0,34,1,0.0,2,1,1,97932.68,66,13,1,1,1,1,1,0,1
681,0,79,0,0.0,2,0,1,170968.99,98,11,0,3,0,0,1,0,0
544,1,37,2,79731.91,1,1,1,57558.95,59,12,9,4,1,1,1,1,0
696,1,28,8,0.0,1,0,0,176713.47,32,13,0,3,1,0,1,0,1
766,1,41,0,0.0,2,0,1,34283.23,40,10,5,2,1,0,1,0,1
727,1,34,10,0.0,2,1,1,198637.34,51,6,6,2,0,0,1,0,0
671,0,34,6,37266.67,2,0,0,156917.12,16,12,16,5,1,0,1,1,0
693,0,30,6,127992.25,1,1,1,50457.2,25,8,8,4,0,1,1,0,0
850,1,38,3,54901.01,1,1,1,140075.55,99,13,6,1,0,1,1,1,0
732,1,42,9,108748.08,2,1,1,65323.11,69,9,16,2,0,1,1,1,0
726,0,48,6,99906.19,1,1,0,64323.24,11,10,2,5,1,1,1,0,1
557,0,32,6,184686.41,2,1,0,14956.44,10,4,15,6,1,0,0,0,0
682,0,26,0,110654.02,1,0,1,111879.21,57,1,4,3,0,0,1,0,0
738,1,31,9,79019.8,1,1,1,18606.23,21,14,19,3,0,0,1,0,1
531,0,36,9,99240.51,1,1,0,123137.01,78,8,17,3,0,1,1,0,1
498,1,34,2,0.0,2,1,1,148528.24,46,2,0,3,0,0,0,0,0
651,1,36,7,0.0,2,1,0,13898.31,41,11,3,4,1,1,0,0,0
549,0,39,7,0.0,1,0,0,81259.25,18,1,10,5,0,1,0,0,1
791,0,35,7,52436.2,1,1,0,161051.75,28,13,19,5,0,1,1,1,0
650,1,41,9,0.0,2,0,1,191599.67,57,7,8,4,0,0,0,0,1
733,1,34,3,100337.96,3,1,0,48559.19,89,12,7,3,0,1,1,1,0
811,0,34,1,149297.19,2,1,1,186339.74,12,10,7,4,0,0,1,1,0
707,1,30,8,0.0,2,1,0,33159.37,29,9,4,4,0,1,1,0,0
712,1,28,4,145605.44,1,0,1,93883.53,33,11,11,5,0,1,1,1,0
706,0,37,7,0.0,2,1,1,110899.3,63,12,0,2,0,0,1,0,1
756,1,62,3,0.0,1,1,1,11199.04,42,12,14,3,1,0,0,0,0
777,0,53,10,0.0,2,1,0,189992.97,33,9,17,3,0,0,1,0,0
646,1,35,6,84026.86,1,0,1,164255.69,84,3,5,3,0,1,1,0,0
714,1,46,1,0.0,1,1,0,152167.79,81,6,9,3,0,0,0,0,0
782,1,39,8,0.0,2,1,1,33949.67,45,7,13,3,1,1,1,0,0
775,1,29,10,0.0,2,1,1,68143.93,47,14,7,2,0,0,1,0,1
479,1,35,4,138718.92,1,1,1,47251.79,93,10,2,1,0,1,1,1,0
807,1,42,7,118274.71,1,1,1,25885.72,98,9,18,1,1,0,1,0,0
799,0,22,8,174185.98,2,0,1,192633.85,34,2,11,4,0,0,1,0,0
675,1,40,7,113208.86,2,1,0,34577.36,27,8,11,4,1,1,1,0,0
602,1,29,5,103907.28,1,1,0,161229.84,91,14,14,1,0,1,1,0,1
475,0,32,8,119023.28,1,1,0,100816.29,75,7,6,3,0,0,1,0,0
744,0,26,5,166297.89,1,1,1,181694.44,63,4,3,3,1,1,0,0,1
588,1,34,10,0.0,2,1,0,79078.91,44,2,8,4,0,0,0,0,1
703,1,42,9,63227.0,1,0,1,137316.32,89,8,15,1,1,1,1,1,0
747,0,41,5,94521.17,2,1,0,194926.86,70,11,12,2,0,0,0,0,1
583,1,27,7,0.0,2,1,0,51285.49,50,5,3,3,1,0,0,0,0
750,0,34,9,112822.26,1,0,0,150401.53,42,6,8,5,1,0,0,0,1
681,1,38,3,0.0,2,1,1,112491.96,77,14,17,1,0,0,0,0,0
773,1,25,2,135903.33,1,1,0,73656.38,42,11,14,6,0,0,0,0,0
714,0,31,4,125169.26,1,1,1,106636.89,23,7,14,4,0,0,0,0,0
687,0,44,7,0.0,3,1,0,155853.52,30,10,5,3,1,1,0,0,1
511,1,58,0,149117.31,1,1,1,162599.51,57,1,10,3,1,0,1,0,0
627,1,33,5,0.0,2,1,1,103737.82,29,8,7,4,0,0,1,0,0
694,0,31,10,0.0,2,1,0,160990.27,17,4,16,4,1,1,1,0,0
616,0,36,6,132311.71,1,0,0,15462.84,16,13,16,6,1,1,1,0,1
687,1,35,8,0.0,2,1,0,10334.05,76,9,17,2,0,0,0,0,0
712,0,33,6,0.0,2,1,1,190686.16,26,1,3,5,0,0,1,0,0
553,1,33,4,118082.89,1,0,0,94440.45,42,11,14,4,1,0,1,0,0
667,1,31,1,119266.69,1,1,1,28257.63,57,2,1,2,0,1,1,0,0
731,1,43,2,0.0,1,1,1,170034.95,85,14,1,3,0,1,1,0,0
629,1,35,7,156847.29,2,1,0,31824.29,68,6,9,4,1,0,0,1,0
614,1,50,4,137104.47,1,1,0,127166.49,95,11,2,1,0,1,1,0,0
438,1,31,8,78398.69,1,1,0,44937.01,31,10,7,5,0,0,0,1,0
652,0,80,4,0.0,2,1,1,188603.07,39,11,19,5,1,0,1,0,0
729,1,30,6,63669.42,1,1,0,145111.37,47,14,6,5,1,1,1,1,0
642,1,38,3,0.0,2,0,0,171463.83,60,1,11,2,0,0,0,0,0
806,0,59,0,135296.33,1,1,0,182822.5,63,4,18,5,1,1,1,1,0
744,1,36,2,153804.44,1,1,1,87213.33,17,8,14,5,1,1,1,0,1
474,1,37,3,0.0,2,0,0,57175.32,36,10,13,3,1,1,0,0,1
559,1,49,2,147069.78,1,1,0,120540.83,36,5,15,4,1,0,1,0,0
706,1,42,9,0.0,2,1,1,28714.34,30,13,13,4,1,0,1,0,1
628,0,22,3,0.0,1,1,0,85426.28,39,9,2,3,0,0,0,0,1
429,1,24,4,95741.75,1,1,0,46170.75,37,11,17,5,1,0,0,0,0
525,0,57,2,145965.33,1,1,1,64448.36,73,11,5,5,1,1,1,0,1
680,0,30,8,141441.75,1,1,1,16278.97,78,6,16,3,1,1,1,0,0
749,1,40,1,139290.41,1,1,0,182855.42,70,1,13,3,0,0,1,0,0
763,0,31,4,0.0,2,0,0,50404.72,57,6,13,3,0,1,1,0,0
734,1,30,3,0.0,2,1,0,107640.25,28,6,19,5,1,1,1,0,0
716,1,35,4,144428.87,1,1,0,134132.65,13,13,12,4,0,1,1,0,0
594,1,35,2,0.0,2,1,0,103480.69,44,6,2,3,0,1,1,0,0
644,0,46,9,95441.27,1,1,0,108761.05,73,8,12,1,0,1,1,0,0
671,1,35,1,144848.74,1,1,1,179012.3,58,6,1,3,1,0,0,1,0
664,1,26,7,116244.14,2,1,1,95145.14,26,5,8,4,1,1,1,1,0
656,1,50,7,0.0,2,0,1,72143.44,53,11,12,3,0,1,1,0,0
